model_id,score_threshold,r_squared,rmse,errors,gt_values,count_accuracy_avg,count_accuracy_sd,ap_iou_50_95,ap_iou_50,ap_iou_75,ap_small,ap_medium,ap_large,ar_max_1,ar_max_10,ar_max_100,ar_small,ar_medium,ar_large
yolov5nu_dataset_1_exp_dataset_quality_8,0.5,0.4966691339748335,2.6076809620810595,"[0, 2, 3, 3, 3, 1, 4, 1, 0, 1, 4, 2, 3, 1, 4, 3, 5, 1, 2, 1]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.8134867216117216,0.10362638078320632,0.4789823346747633,0.7855764031133274,0.5216568651400659,0.4789823346747633,-1.0,-1.0,0.05726495726495727,0.49102564102564106,0.5602564102564103,0.5602564102564103,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_8,0.6,-9.711007648819422,11.216617137087278,"[7, 6, 14, 14, 10, 13, 6, 12, 4, 14, 12, 12, 13, 15, 12, 7]","[9, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 16, 16, 13, 8]",0.15161782661782658,0.09201129465193454,0.07420074388391219,0.1188118811881188,0.08067473414008067,0.07420074388391219,-1.0,-1.0,0.0452991452991453,0.08333333333333334,0.08333333333333334,0.08333333333333334,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_9,0.29,0.9703923019985197,0.6324555320336759,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9765109890109891,0.04400463059939383,0.6001089902501194,0.9557235625239795,0.6634755813779498,0.6001089902501194,-1.0,-1.0,0.06153846153846154,0.5431623931623932,0.6854700854700855,0.6854700854700855,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_9,0.4,0.9185788304959289,1.0488088481701516,"[0, 2, 1, 1, 1, 0, 0, 0, 0, 1, 2, 2, 0, 0, 2, 1, 0, 0, 0, 1]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.934896978021978,0.07551152654963252,0.586462606940236,0.9263518659558262,0.6473776803627025,0.586462606940236,-1.0,-1.0,0.06153846153846154,0.535897435897436,0.6688034188034189,0.6688034188034189,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_9,0.5,-2.1014063656550706,6.473020933072903,"[4, 7, 4, 9, 8, 2, 6, 1, 4, 5, 7, 8, 3, 1, 10, 9, 12, 3, 8, 3]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.5158409645909645,0.2192906131429519,0.32399239374055927,0.5021452145214521,0.35995211572925895,0.32399239374055927,-1.0,-1.0,0.06153846153846154,0.3555555555555555,0.36666666666666664,0.36666666666666664,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_9,0.6,-81.0,13.583077707206124,"[15, 12]","[16, 13]",0.06971153846153844,0.007211538461538436,0.00891089108910891,0.009900990099009901,0.009900990099009901,0.00891089108910891,-1.0,-1.0,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.007692307692307693,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_10,0.29,0.9592894152479645,0.7416198487095663,"[0, 0, 1, 0, 2, 0, 0, -1, 0, 0, 2, 0, -1, 0, 0, 0, 0, 0, 0, 0]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9694642857142857,0.05477907986360256,0.6212181542955726,0.9377979064963899,0.7376194262320817,0.6212181542955726,-1.0,-1.0,0.06794871794871796,0.5572649572649573,0.6982905982905983,0.6982905982905983,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_10,0.4,0.8519615099925981,1.4142135623730951,"[0, 0, 1, 2, 4, 0, 2, 0, 0, 0, 2, 0, -1, 0, 0, 0, 3, 0, 0, 1]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9362591575091574,0.08647224279579489,0.5900915417512862,0.8993790646122015,0.7043489157749223,0.5900915417512862,-1.0,-1.0,0.06794871794871796,0.5508547008547009,0.6628205128205128,0.6628205128205128,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_10,0.5,-1.531458179126573,5.848076606885378,"[4, 7, 3, 7, 10, 3, 7, 2, 5, 3, 5, 6, 5, 3, 7, 5, 9, 3, 9, 5]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.5255410561660562,0.17444816034146707,0.3582401470759536,0.5215878837430313,0.4438531137258153,0.3582401470759536,-1.0,-1.0,0.06794871794871796,0.391025641025641,0.3974358974358974,0.3974358974358974,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_10,0.6,-11.772727272727273,11.853269591129697,"[6, 14, 12, 13, 13, 15, 4, 13]","[7, 15, 13, 16, 15, 16, 8, 14]",0.15515109890109888,0.13699323803815094,0.044332861857614335,0.0594059405940594,0.05516265912305516,0.044332861857614335,-1.0,-1.0,0.026923076923076928,0.04401709401709401,0.04401709401709401,0.04401709401709401,-1.0,-1.0
